TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
denovo0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae		
denovo1	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	moorei
denovo2	Unassigned						
denovo3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo9	Bacteria	TM7	TM7-3	I025	Rs-045		
denovo10	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	
denovo11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo12	Unassigned						
denovo13	Unassigned						
denovo14	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo15	Bacteria	TM7	TM7-3	CW040			
denovo16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo19	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
denovo20	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	
denovo21	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	
denovo22	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	hiranonis
denovo23	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	
denovo24	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo25	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae		
denovo26	Unassigned						
denovo27	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo30	Unassigned						
denovo31	Unassigned						
denovo32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	endodontalis
denovo33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo34	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo35	Unassigned						
denovo36	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo37	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo38	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo39	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	moorei
denovo40	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		
denovo41	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo42	Bacteria	TM7	TM7-3	CW040	F16		
denovo43	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo44	Unassigned						
denovo45	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo46	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo48	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
denovo49	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo50	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	
denovo51	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	ochracea
denovo52	Unassigned						
denovo53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo54	Unassigned						
denovo55	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo56	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo57	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo58	Unassigned						
denovo59	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo60	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo61	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo62	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	pallens
denovo63	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo64	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo65	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo67	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	segnis
denovo68	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo69	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo70	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	
denovo71	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae		
denovo72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo73	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo74	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae		
denovo75	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo76	Unassigned						
denovo77	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo78	Unassigned						
denovo79	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo80	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo81	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
denovo82	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	amylovorum
denovo83	Unassigned						
denovo84	Unassigned						
denovo85	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo87	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo88	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	
denovo89	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo90	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo91	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo92	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo93	Bacteria	Firmicutes	Clostridia	Clostridiales			
denovo94	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	tannerae
denovo96	Unassigned						
denovo97	Unassigned						
denovo98	Unassigned						
denovo99	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo101	Unassigned						
denovo102	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo103	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo104	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo105	Unassigned						
denovo106	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo107	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	
denovo108	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo109	Unassigned						
denovo110	Unassigned						
denovo111	Unassigned						
denovo112	Unassigned						
denovo113	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo114	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	
denovo115	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	
denovo116	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo118	Unassigned						
denovo119	Unassigned						
denovo120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo121	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo122	Unassigned						
denovo123	Unassigned						
denovo124	Unassigned						
denovo125	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	
denovo126	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo127	Unassigned						
denovo128	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo129	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	
denovo130	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo131	Unassigned						
denovo132	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo133	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo134	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
denovo135	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo136	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo137	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	
denovo138	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo139	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo140	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo141	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
denovo142	Bacteria	TM7	TM7-3	CW040	F16		
denovo143	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo144	Bacteria	TM7	TM7-3				
denovo145	Bacteria	SR1					
denovo146	Unassigned						
denovo147	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo148	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	
denovo149	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo150	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo151	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	
denovo152	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo153	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo154	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	
denovo155	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo156	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	dentocariosa
denovo157	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo158	Unassigned						
denovo159	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo160	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
denovo161	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo162	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
denovo163	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo164	Unassigned						
denovo165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo166	Unassigned						
denovo167	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo168	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo169	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo170	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo171	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo172	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo173	Bacteria	TM7	TM7-3	CW040	F16		
denovo174	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo175	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo176	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo177	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo178	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo179	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae		
denovo180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
denovo181	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	
denovo182	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo183	Unassigned						
denovo184	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae		
denovo185	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo186	Unassigned						
denovo187	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo188	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	
denovo189	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo190	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus
denovo191	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo192	Unassigned						
denovo193	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo194	Unassigned						
denovo195	Unassigned						
denovo196	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo197	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
denovo198	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo199	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo200	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo201	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo202	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
denovo203	Bacteria	Tenericutes	Mollicutes	RF39			
denovo204	Unassigned						
denovo205	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo206	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
denovo207	Unassigned						
denovo208	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo209	Unassigned						
denovo210	Unassigned						
denovo211	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo212	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo213	Unassigned						
denovo214	Unassigned						
denovo215	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo216	Unassigned						
denovo217	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
denovo218	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo219	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo220	Unassigned						
denovo221	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo222	Unassigned						
denovo223	Unassigned						
denovo224	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo225	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	
denovo226	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo227	Unassigned						
denovo228	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo229	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo231	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo232	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo233	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo234	Unassigned						
denovo235	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo236	Unassigned						
denovo237	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo238	Unassigned						
denovo239	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo240	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo241	Unassigned						
denovo242	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo243	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae		
denovo244	Unassigned						
denovo245	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo246	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo247	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo248	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	ochracea
denovo249	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
denovo250	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo251	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo252	Unassigned						
denovo253	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
denovo254	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo255	Unassigned						
denovo256	Unassigned						
denovo257	Unassigned						
denovo258	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo259	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo260	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo261	Unassigned						
denovo262	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo263	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo264	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
denovo265	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo266	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	
denovo267	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	
denovo268	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
denovo269	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo270	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo271	Unassigned						
denovo272	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo273	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo274	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae		
denovo275	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo276	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo277	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo278	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
denovo279	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae		
denovo280	Unassigned						
denovo281	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo282	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	parvula
denovo283	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo284	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	
denovo285	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo286	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo287	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo288	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo289	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo290	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo291	Unassigned						
denovo292	Unassigned						
denovo293	Unassigned						
denovo294	Bacteria	TM7	TM7-3				
denovo295	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo296	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo297	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo298	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo299	Unassigned						
denovo300	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo301	Bacteria	TM7	TM7-3				
denovo302	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	
denovo303	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo304	Unassigned						
denovo305	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo306	Bacteria	TM7	TM7-3				
denovo307	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo308	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo309	Unassigned						
denovo310	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	
denovo311	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo312	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
denovo313	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
denovo314	Unassigned						
denovo315	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
denovo316	Unassigned						
denovo317	Unassigned						
denovo318	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo319	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo320	Unassigned						
denovo321	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	
denovo322	Unassigned						
denovo323	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo324	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
denovo325	Unassigned						
denovo326	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo327	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	parvula
denovo328	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo329	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo330	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo331	Unassigned						
denovo332	Unassigned						
denovo333	Unassigned						
denovo334	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo335	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo336	Unassigned						
denovo337	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo338	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo339	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo340	Unassigned						
